Name,Year,Latitude,Longitude,City,Country,Cuisine,Price,URL
Shoun RyuGin,2019,25.08258,121.5595,Taipei,Taiwan,Japanese,$$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/shoun-ryugin
Sushi Amamoto,2019,25.037945,121.55487,Taipei,Taiwan,Japanese,$$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/sushi-amamoto
Taïrroir,2019,25.082718,121.559296,Taipei,Taiwan,Innovative,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/tairroir
The Guest House,2019,25.04486,121.52198,Taipei,Taiwan,Chinese,$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/the-guest-house
Gaggan,2019,13.737679,100.542145,Bangkok,Thailand,Innovative,$$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/gaggan
Le Normandie,2019,13.723197,100.513855,Bangkok,Thailand,French,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/le-normandie
Mezzaluna,2019,13.722148,100.51691,Bangkok,Thailand,Innovative,$$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/mezzaluna
Sühring,2019,13.710947,100.545654,Bangkok,Thailand,Western,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/suhring
Andrew Fairlie at Gleneagles,2019,56.28339,-3.75149,Auchterarder,United Kingdom,French,$$$$,https://guide.michelin.com/gb/en/perth-and-kinross/auchterarder/restaurant/andrew-fairlie-at-gleneagles
Moor Hall,2019,53.54162,-2.8895495,Aughton,United Kingdom,Modern,$$$$,https://guide.michelin.com/gb/en/lancashire/aughton/restaurant/moor-hall
Kitchen Table at Bubbledogs,2019,51.52041,-0.13647,Bloomsbury,United Kingdom,Modern,$$$$,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/kitchen-table-at-bubbledogs
Midsummer House,2019,52.21243,0.12779,Cambridge,United Kingdom,Modern,$$$$,https://guide.michelin.com/gb/en/cambridgeshire/cambridge/restaurant/midsummer-house
L'Enclume,2019,54.201885,-2.953807,Cartmel,United Kingdom,Innovative,$$$$,https://guide.michelin.com/gb/en/cumbria/cartmel/restaurant/l-enclume
Claude Bosi at Bibendum,2019,51.49341,-0.1690893,Chelsea,United Kingdom,French,$$$$,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/claude-bosi-at-bibendum
Belmond Le Manoir aux Quat' Saisons,2019,51.71674,-1.09187,Great Milton,United Kingdom,French,$$$$,https://guide.michelin.com/gb/en/oxfordshire/great-milton/restaurant/belmond-le-manoir-aux-quat-saisons
Dinner by Heston Blumenthal,2019,51.50208,-0.16011,Hyde Park,United Kingdom,British,$$$$,https://guide.michelin.com/gb/en/greater-london/hyde-park/restaurant/dinner-by-heston-blumenthal
Hand and Flowers,2019,51.57031,-0.78113,Marlow,United Kingdom,British,$$$$,https://guide.michelin.com/gb/en/buckinghamshire/marlow/restaurant/hand-and-flowers
Greenhouse,2019,51.50769,-0.14926,Mayfair,United Kingdom,Innovative,$$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/greenhouse69393
Hélène Darroze at The Connaught,2019,51.5101,-0.1495701,Mayfair,United Kingdom,Modern,$$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/helene-darroze-at-the-connaught
Le Gavroche,2019,51.51127,-0.15517,Mayfair,United Kingdom,French,$$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/le-gavroche
Sketch (The Lecture Room & Library),2019,51.51287,-0.14136,Mayfair,United Kingdom,French,$$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/sketch-the-lecture-room-library
Umu,2019,51.5113,-0.14455,Mayfair,United Kingdom,Japanese,$$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/umu
CORE by Clare Smyth,2019,51.51261,-0.2030516,North Kensington,United Kingdom,British,$$$$,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/core-by-clare-smyth
Ledbury,2019,51.51674,-0.20007,North Kensington,United Kingdom,Modern,$$$$,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/ledbury
Restaurant Sat Bains,2019,52.92438,-1.1733198,Nottingham,United Kingdom,Innovative,$$$$,https://guide.michelin.com/gb/en/nottingham/nottingham/restaurant/restaurant-sat-bains
Restaurant Nathan Outlaw,2019,50.594086,-4.82854,Port Isaac,United Kingdom,Seafood,$$$$,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw
Raby Hunt,2019,54.56647,-1.689258,Summerhouse,United Kingdom,Modern,$$$$,https://guide.michelin.com/gb/en/darlington/summerhouse/restaurant/raby-hunt
Acadia,2019,41.85904,-87.62562,Chicago,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia
Oriole,2019,41.886196,-87.64513,Chicago,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole
Smyth,2019,41.885,-87.660736,Chicago,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/smyth
n/naka,2019,34.02526,-118.41206,Los Angeles,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka
Providence,2019,34.083523,-118.33019,Los Angeles,United States,Seafood,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence
Somni,2019,34.070095,-118.37649,Los Angeles,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/somni
